timestamp,soil_moisture,air_temperature,humidity,light_lux
2026-04-01 06:00,31.4,18.7,78.2,420
2026-04-01 07:00,31.1,19.5,76.9,980
2026-04-01 08:00,30.8,20.9,73.5,1820
2026-04-01 09:00,30.2,22.4,69.8,2860
2026-04-01 10:00,29.7,24.1,64.6,3980
2026-04-01 11:00,29.1,25.6,59.4,5120
2026-04-01 12:00,28.8,26.3,55.7,6030
2026-04-01 13:00,28.4,27.0,53.2,6580
2026-04-01 14:00,28.0,27.5,51.9,6310
2026-04-01 15:00,27.9,26.8,54.1,5480
2026-04-01 16:00,28.2,25.9,57.8,4210
2026-04-01 17:00,28.7,24.2,62.5,2600
2026-04-01 18:00,29.4,22.1,68.1,1180
2026-04-01 19:00,30.1,20.6,72.9,360
2026-04-01 20:00,30.6,19.7,75.8,120
2026-04-01 21:00,30.9,18.9,78.6,45
2026-04-01 22:00,31.2,18.2,80.1,20
2026-04-01 23:00,31.0,17.8,81.0,10
2026-04-02 00:00,31.3,17.4,82.5,8
2026-04-02 01:00,31.5,17.1,83.2,7
2026-04-02 02:00,31.8,16.9,84.1,6
2026-04-02 03:00,32.0,16.7,84.7,5
2026-04-02 04:00,32.1,16.5,85.0,6
2026-04-02 05:00,32.3,16.9,84.3,40
2026-04-02 06:00,32.0,18.0,80.5,410
2026-04-02 07:00,31.6,19.1,77.7,1020
2026-04-02 08:00,31.0,20.8,73.8,1910
2026-04-02 09:00,30.6,22.7,68.6,3010
2026-04-02 10:00,29.9,24.5,63.0,4190
2026-04-02 11:00,29.2,26.1,58.2,5360
2026-04-02 12:00,28.6,26.9,54.4,6240
2026-04-02 13:00,28.1,27.6,52.1,6710
2026-04-02 14:00,27.6,28.0,50.8,6490
2026-04-02 15:00,28.0,27.2,53.9,5610
2026-04-02 16:00,28.5,26.2,57.3,4380
2026-04-02 17:00,29.1,24.6,61.8,2790
2026-04-02 18:00,29.9,22.8,66.9,1280
2026-04-02 19:00,30.5,20.9,72.4,390
2026-04-02 20:00,30.9,19.8,76.1,130
2026-04-02 21:00,31.4,19.0,78.5,50
