timestamp,soil_moisture,air_temperature,humidity,light_lux
2026-04-01 06:00,32.00,18.00,80.00,500.00
2026-04-01 07:00,31.90,18.50,78.80,1000.00
2026-04-01 08:00,31.80,19.00,77.60,1500.00
2026-04-01 09:00,31.70,19.50,76.40,2000.00
2026-04-01 10:00,31.60,20.00,75.20,2500.00
2026-04-01 11:00,31.50,20.50,74.00,3000.00
2026-04-01 12:00,31.40,21.00,72.80,3500.00
2026-04-01 13:00,31.30,21.50,71.60,4000.00
2026-04-01 14:00,31.20,22.00,70.40,4500.00
2026-04-01 15:00,31.10,22.50,69.20,5000.00
2026-04-01 16:00,31.00,23.00,68.00,5500.00
2026-04-01 17:00,30.90,23.50,66.80,6000.00
2026-04-01 18:00,30.80,24.00,65.60,6500.00
2026-04-01 19:00,30.70,24.50,64.40,7000.00
2026-04-01 20:00,30.60,25.00,63.20,7500.00
2026-04-01 21:00,30.50,25.50,62.00,8000.00
2026-04-01 22:00,30.40,26.00,60.80,8500.00
2026-04-01 23:00,30.30,26.50,59.60,9000.00
2026-04-02 00:00,30.20,27.00,58.40,9500.00
2026-04-02 01:00,30.10,27.50,57.20,10000.00
2026-04-02 02:00,30.00,28.00,56.00,10500.00
2026-04-02 03:00,29.90,28.50,54.80,11000.00
2026-04-02 04:00,29.80,29.00,53.60,11500.00
2026-04-02 05:00,29.70,29.50,52.40,12000.00
2026-04-02 06:00,29.60,30.00,51.20,12500.00
2026-04-02 07:00,29.50,30.50,50.00,13000.00
2026-04-02 08:00,29.40,31.00,48.80,13500.00
2026-04-02 09:00,29.30,31.50,47.60,14000.00
2026-04-02 10:00,29.20,32.00,46.40,14500.00
2026-04-02 11:00,29.10,32.50,45.20,15000.00
2026-04-02 12:00,29.00,33.00,44.00,15500.00
2026-04-02 13:00,28.90,33.50,42.80,16000.00
2026-04-02 14:00,28.80,34.00,41.60,16500.00
2026-04-02 15:00,28.70,34.50,40.40,17000.00
2026-04-02 16:00,28.60,35.00,39.20,17500.00
2026-04-02 17:00,28.50,35.50,38.00,18000.00
2026-04-02 18:00,28.40,36.00,36.80,18500.00
2026-04-02 19:00,28.30,36.50,35.60,19000.00
2026-04-02 20:00,28.20,37.00,34.40,19500.00
2026-04-02 21:00,28.10,37.50,33.20,20000.00
